,Linsensuppe,Restaurant
,Joghurtsuppe,Restaurant
,Suppe mit Hühnchenfleisch,Restaurant
,Rindfleischsuppe (scharf),Restaurant
,Kelle Paça Suppe,Restaurant
,Iskembe suppe,Restaurant
,Izmir Köfte im Oren,Restaurant
,Okraschoren mit Fleisch,Restaurant
,Okraschoten mit Vegan,Restaurant
,Aubergine mit Fleisch,Restaurant
,Aubergine mit Vegan,Restaurant
,Gulasch mit Rindfleisch,Restaurant
,Gulasch mit Vegan,Restaurant
,Aubergine gefüllt mit Hackfleisch,Restaurant
,Aubergine gefüllt Vegan,Restaurant
,Kichererbsen mit Fleisch,Restaurant
,Kichererbsen Vegan,Restaurant
,Bohnen mit Fleisch,Restaurant
,Bohnen Vegan,Restaurant
,Hühner Pfanne,Restaurant
,Fleisch Pfanne,Restaurant
,Türkische Pilzpfanne,Restaurant
,Grüne Bohnen mit Fleisch,Restaurant
,Grüne Bohnen Vegan,Restaurant
,Manti Teigtaschen mit Fleisch,Restaurant
,Manti Teigtaschen Vegan,Restaurant
,Paprika gefüllt mit Hackfleisch,Restaurant
,Türkischer Reis,Restaurant
,Basmati Reis,Restaurant
,Bulgur,Restaurant
,Vorspeise (kg),Restaurant
